#,cohort_week,total_new_phones
1,2026-07-20 00:00:00.000000,426
2,2026-07-13 00:00:00.000000,389
3,2026-07-06 00:00:00.000000,420
4,2026-06-29 00:00:00.000000,339
5,2026-06-22 00:00:00.000000,238
6,2026-06-15 00:00:00.000000,274
7,2026-06-08 00:00:00.000000,60
8,2026-06-01 00:00:00.000000,53
9,2026-05-25 00:00:00.000000,32
10,2026-05-18 00:00:00.000000,34
11,2026-05-11 00:00:00.000000,58
12,2026-05-04 00:00:00.000000,126
13,2026-04-27 00:00:00.000000,53
14,2026-04-20 00:00:00.000000,33
15,2026-04-13 00:00:00.000000,42
16,2026-04-06 00:00:00.000000,87
17,2026-03-30 00:00:00.000000,28
18,2026-03-23 00:00:00.000000,18
19,2026-03-16 00:00:00.000000,19
20,2026-03-09 00:00:00.000000,13
21,2026-03-02 00:00:00.000000,33
22,2026-02-23 00:00:00.000000,11
23,2026-02-16 00:00:00.000000,33
24,2026-02-09 00:00:00.000000,37
25,2026-02-02 00:00:00.000000,2
26,2026-01-26 00:00:00.000000,4
27,2026-01-19 00:00:00.000000,2
